연번,구인등록일,모집기간,사업장명,모집직종,고용형태,임금형태,임금,근무지,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
1,2020-10-31,2020-10-31 ~ 2020-11-30,(주)블랙스톤리조트이천,환경 미화원,상용직,연봉,"20,000,000",,무관,0년개월,무관,,    ,경기도 이천시 장호원읍 장여로 459-160 골프클럽,대기업,경기동부지사,2020-11-02,1588-1519
2,2020-10-30,2020-10-30 ~ 2020-11-15,신일산업,직업 운동선수,계약직,시급,"8,590",,신입,무관,무관,,    ,서울특별시 강서구 강서로52길 50 5층 신일산업,중소,제주지사,2020-10-30,1588-1519
3,2020-10-30,2020-10-30 ~ 2020-10-30,다니엘학교,학교행정 사무원(교무),계약직,시급,"8,590",,무관,무관,무관,,    ,"서울특별시 서초구 헌릉로468길 21-16 (내곡동,다니엘학교)","공사,공공",서울동부지사,2020-10-30,1588-1519
4,2020-10-30,2020-10-30 ~ 2020-11-06,(주)우리나눔,환경 미화원,계약직,월급,"1,000,000",,무관,0년개월,무관,,    ,서울특별시 성동구 아차산로15길 19 (성수동2가) 우리W타워 1층,중소,서울동부지사,2020-11-06,1588-1519
5,2020-10-30,2020-10-30 ~ 2020-11-10,(사)느티나무경상남도장애인부모회,시설 요양보호사(노인요양사),계약직,시급,"8,590",,무관,무관,무관,가족·사회·복지학,    ,경상남도 창원시 의창구 도계두리길 20 유진빌딩 1층 (도계동),중소,경남발달장애인훈련센터,2020-10-30,1588-1519
6,2020-10-30,2020-10-30 ~ 2020-12-31,(사)한국기능장애인협회 천안장애인사업장,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,0년개월,무관,,    ,충청남도 천안시 동남구 광덕로 276 (사)한국기능장애인협회 천안장애인작업장,중소,충남지사,2020-10-30,1588-1519
7,2020-10-30,2020-10-30 ~ 2020-11-20,포항세명기독병원,음료 조리사(바리스타 포함),상용직,시급,"8,590",,무관,무관,무관,,    ,경상북도 포항시 남구 포스코대로 351 포항세명기독병원 (대도동),대기업,경북지사,2020-10-30,1588-1519
8,2020-10-30,2020-10-30 ~ 2020-11-06,카리타스보호작업장,경·소형 화물차 운전원,상용직,시급,"8,590",,무관,0년개월,무관,,    ,경상북도 포항시 북구 청하면 사방공원길 35 카리타스보호작업장,중소,경북지사,2020-10-30,1588-1519
9,2020-10-30,2020-10-30 ~ 2020-11-06,농림축산검역본부,환경·청소 관리자,상용직,시급,"8,590",,무관,무관,무관,생물학,    ,경상북도 김천시 혁신8로 177 농림축산검역본부 연구기획과 (율곡동),"공사,공공",경북지사,2020-10-30,1588-1519
10,2020-10-30,2020-10-30 ~ 2020-11-25,토반T&C,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,시급,"8,590",,무관,0년개월,무관,,    ,경상북도 경주시 외동읍 관문로 1255-40 .,개인,경북지사,2020-10-30,1588-1519
11,2020-10-30,2020-10-30 ~ 2020-11-06,(주)금정엔지니어링,"전기공사 기술자(전기견적, 공무포함)",상용직,시급,"8,590",,무관,0년개월,무관,,    ,서울특별시 강동구 양재대로122가길 1 (길동) 3층 302호,중소,경북지사,2020-10-30,1588-1519
12,2020-10-30,2020-10-30 ~ 2020-11-06,더착한커피,음료 조리사(바리스타 포함),상용직,시급,"8,590",,무관,0년개월,무관,,    ,경상북도 포항시 남구 오천읍 냉천로302번길 1 1~2층,개인,경북지사,2020-10-30,1588-1519
13,2020-10-30,2020-10-30 ~ 2020-11-01,진성전자,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,무관,무관,,    ,경기도 김포시 대곶면 율생중앙로120번길 111 진성전자,중소,경기북부지사,2020-10-30,1588-1519
14,2020-10-30,2020-10-30 ~ 2020-12-20,경농의료재단양산병원,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,"8,590",,무관,무관,무관,,    ,"경상남도 양산시 모래들1길 91 (주진동), 양산병원 (주진동,양산병원)",중소,울산지사,2020-10-30,1588-1519
15,2020-10-30,2020-10-30 ~ 2020-11-30,(주)우리환경개발,방역원(해충퇴치원 포함),계약직,월급,"1,800,000",,무관,0년개월,무관,,    ,울산광역시 남구 울밀로 2881 (무거동) 4층,개인,울산지사,2020-11-02,1588-1519
16,2020-10-30,2020-10-30 ~ 2020-12-20,오에스(주),지게차 운전원,상용직,시급,"8,590",,무관,무관,무관,,    ,울산광역시 북구 모듈화산업로 242 오에스(주) (연암동),중소,울산지사,2020-10-30,1588-1519
17,2020-10-30,2020-10-30 ~ 2020-11-30,주식회사도우누리,의료 보조원,계약직,월급,"1,800,000",,무관,0년개월,무관,,    ,울산광역시 남구 중앙로 311 (신정동) 7층,개인,울산지사,2020-11-02,1588-1519
18,2020-10-30,2020-10-30 ~ 2020-11-30,(주)고래의 꿈,방역원(해충퇴치원 포함),계약직,월급,"1,800,000",,신입,무관,무관,,    ,울산광역시 남구 수암로189번길 16-4  (야음동),중소,울산지사,2020-11-02,1588-1519
19,2020-10-30,2020-10-30 ~ 2020-11-30,(주)펫팜헬스케어,환경 미화원,상용직,월급,"1,000,000",,무관,0년개월,무관,,    ,경상남도 양산시 삼일로 84 (중부동) 1층,개인,울산지사,2020-10-30,1588-1519
20,2020-10-30,2020-10-30 ~ 2020-11-30,원진재단부설녹색병원,콜센터 상담원(콜센터·고객센터·CS센터),상용직,시급,"8,590",,무관,무관,무관,,    ,서울특별시 중랑구 사가정로49길 53 녹색병원 (면목동),중소,서울지역본부,2020-11-06,1588-1519
21,2020-10-30,2020-10-30 ~ 2020-11-27,친애저축은행 주식회사,음료 조리사(바리스타 포함),시간제,시급,"8,590",,경력,1년0개월,고졸,,바리스타 2급    ,서울특별시 강남구 테헤란로 317 동훈타워 5층 (역삼동),중소,서울지역본부,2020-10-30,1588-1519
22,2020-10-30,2020-10-30 ~ 2020-11-27,친애저축은행 주식회사,매장 정리원(매장 보조원),시간제,시급,"8,590",,경력,1년0개월,고졸,,바리스타 2급    ,서울특별시 강남구 테헤란로 317 동훈타워 5층 (역삼동),중소,서울지역본부,2020-10-30,1588-1519
23,2020-10-30,2020-10-30 ~ 2020-11-13,한국산업은행,사무 보조원(공공기관),계약직,월급,"2,000,000",,무관,무관,무관,,    ,서울특별시 영등포구 은행로 14 (여의도동),"공사,공공",서울남부지사,2020-10-30,1588-1519
24,2020-10-30,2020-10-30 ~ 2020-10-31,교남학교,사무 보조원(공공기관),계약직,시급,"8,590",,무관,무관,무관,,    ,서울특별시 강서구 까치산로22길 38 (화곡동),"협회,단체",서울남부지사,2020-10-30,1588-1519
25,2020-10-30,2020-10-30 ~ 2020-11-06,메이비원(주),인쇄 후가공원,상용직,월급,"1,800,000",,무관,무관,무관,,    ,서울특별시 강서구 마곡중앙8로1길 6 메이비원빌딩 (마곡동),중소,서울남부지사,2020-11-05,1588-1519
26,2020-10-30,2020-10-30 ~ 2020-11-18,씨제이푸드빌(주) 빕스 목동점,주방 보조원(일반 음식점),상용직,시급,"8,590",,무관,무관,무관,,    ,서울특별시 양천구 목동동로 293 (목동) 41층 빕스 목동 41타워점,개인,서울남부지사,2020-10-30,1588-1519
27,2020-10-30,2020-10-30 ~ 2020-11-19,롯데건설㈜,환경 미화원,계약직,월급,"1,000,000",,무관,무관,무관,,    ,"서울특별시 서초구 잠원로14길 3 50-2 (잠원동,롯데캐슬갤럭시)",중소,부산지역본부,2020-10-30,1588-1519
28,2020-10-30,2020-10-30 ~ 2020-12-29,(주)아이피엘씨,"요금 정산원(주차요금,통행료)",계약직,월급,"1,800,000",,무관,무관,무관,,    ,서울특별시 구로구 디지털로33길 55 1011호(이앤씨드림타워 2차) (구로동),중소,부산지역본부,2020-10-30,1588-1519
29,2020-10-30,2020-10-30 ~ 2020-12-31,(재)부산산업과학혁신원,사무 보조원(공공기관),계약직,월급,"2,000,000",,신입,무관,무관,,    ,"부산광역시 해운대구 센텀중앙로 79 13층, 17F(센텀사이언스파크) (우동)",중소,부산지역본부,2020-10-30,1588-1519
30,2020-10-30,2020-10-30 ~ 2020-11-07,패션앤오퍼스주식회사,웹 디자이너,상용직,월급,"1,800,000",,무관,0년개월,무관,,    ,대구광역시 동구 장등로 76 (신천동) 대구콘텐츠기업지원센터 407호,중소,대구지역본부,2020-11-05,1588-1519
31,2020-10-30,2020-10-30 ~ 2020-10-30,가톨릭대학교 인천성모병원,의료 보조원,계약직,시급,"8,590",,무관,무관,무관,,    ,인천광역시 부평구 동수로 56  (부평동),중소,인천지사,2020-10-30,1588-1519
32,2020-10-30,2020-10-30 ~ 2020-10-30,국립대학법인인천대학교,사무 보조원(공공기관),계약직,일급,"78,023",,무관,무관,무관,,    ,인천광역시 연수구 아카데미로 119 인천대학교 동북아물류대학원(14호관) 413호 (송도동),"공사,공공",인천지사,2020-10-30,1588-1519
33,2020-10-30,2020-10-30 ~ 2020-11-30,인천광역시육아종합지원센터,총무 및 일반 사무원,계약직,월급,"2,400,000",,무관,0년개월,고졸,,    ,인천광역시 남동구 소래로 500  (수산동),중소,인천지사,2020-10-30,1588-1519
34,2020-10-30,2020-10-30 ~ 2020-10-30,(주)에스피씨글로벌,환경 미화원,상용직,월급,"1,000,000",,무관,무관,무관,,    ,인천광역시 남동구 남동대로410번길 35 32블럭 9롯트 (남촌동),중소,인천지사,2020-10-30,1588-1519
35,2020-10-30,2020-10-30 ~ 2020-11-08,한국정책방송원,"방송연출 보조(AD, FD)",계약직,월급,"2,400,000",,무관,무관,무관,,    ,세종특별자치시  노을4로 13 (나성동),"공사,공공",대전지역본부,2020-10-30,1588-1519
36,2020-10-30,2020-10-30 ~ 2020-10-31,풍원정밀(주),기계·금속 분야 단순 종사원,계약직,시급,"8,590",,무관,무관,무관,,    ,경기도 안산시 단원구 산단로35번길 24 (원시동),중소,경기지역본부,2020-10-30,1588-1519
37,2020-10-30,2020-10-30 ~ 2020-10-31,롯데쇼핑(주)롯데시네마 안산관,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",시간제,시급,"8,590",,신입,무관,무관,,    ,경기도 안산시 상록구 항가울로 422 (성포동),대기업,경기지역본부,2020-10-30,1588-1519
38,2020-10-30,2020-10-30 ~ 2020-10-30,안양시건강가정지원센타,복지시설 보조원,계약직,시급,"8,590",,무관,무관,무관,,    ,경기도 안양시 동안구 평촌대로253번길 41 1111 (비산동),중소,경기지역본부,2020-10-30,1588-1519
39,2020-10-30,2020-10-30 ~ 2020-11-30,주식회사 호림,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,0년개월,무관,,    ,경기도 수원시 영통구 매영로 219-21 에이동 1층 1호(원천동),중소,경기지역본부,2020-10-30,1588-1519
40,2020-10-30,2020-10-30 ~ 2020-10-30,농업회사법인우리에프앤에프 주식회사,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",상용직,시급,"8,590",,무관,0년개월,무관,,    ,경기도 화성시 봉담읍 삼천병마로 1128-11 우리에프앤에프,중소,경기지역본부,2020-10-30,1588-1519
41,2020-10-30,2020-10-30 ~ 2020-11-02,(주)현대그린푸드 서연알엔디,주방 보조원(일반 음식점),계약직,시급,"8,590",,무관,0년개월,무관,,    ,경기도 안양시 동안구 부림로170번길 41-22 (관양동),중소,경기지역본부,2020-10-30,1588-1519
42,2020-10-30,2020-10-30 ~ 2020-11-30,강릉오성학교,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,시급,"8,590",,무관,무관,무관,,    ,강원도 강릉시 송정길 43 (송정동),중소,강원지사,2020-10-30,1588-1519
43,2020-10-30,2020-10-30 ~ 2020-11-09,강원대학교,사무 보조원(공공기관),계약직,시급,"8,590",,무관,무관,무관,,    ,강원도 춘천시 강원대학길 1 . (효자동),중소,강원지사,2020-10-30,1588-1519
44,2020-10-30,2020-10-30 ~ 2020-11-14,주식회사 엠케이21,아파트·빌라 경비원,계약직,월급,"2,200,000",,무관,무관,무관,,    ,강원도 춘천시 금강로 26 엠케이21 (소양로3가),중소,강원지사,2020-10-30,1588-1519
45,2020-10-30,2020-10-30 ~ 2020-11-23,춘천동원학교북카페모두,음료 조리사(바리스타 포함),계약직,시급,"8,590",,무관,무관,무관,,    ,강원도 춘천시 영서로 2854 (사농동),"공사,공공",강원지사,2020-10-30,1588-1519
46,2020-10-30,2020-10-30 ~ 2020-11-13,전북대학교병원,편의점 판매원,계약직,시급,"8,750",,무관,무관,무관,,    ,전라북도 전주시 덕진구 건지로 20  (금암동),중소,전북지사,2020-10-30,1588-1519
47,2020-10-30,2020-10-30 ~ 2020-11-13,전북대학교병원,사무 보조원(공공기관),계약직,시급,"8,750",,무관,무관,무관,,    ,전라북도 전주시 덕진구 건지로 20  (금암동),중소,전북지사,2020-10-30,1588-1519
48,2020-10-30,2020-10-30 ~ 2020-11-03,우석고등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 쪽구름2길 22 (여의동2가),"공사,공공",전북지사,2020-10-30,1588-1519
49,2020-10-30,2020-10-30 ~ 2020-11-03,전주조촌초등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 쪽구름로 39 (여의동),"공사,공공",전북지사,2020-10-30,1588-1519
50,2020-10-30,2020-10-30 ~ 2020-11-09,전주만성초등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 중동로 32 (중동),"공사,공공",전북지사,2020-10-30,1588-1519
51,2020-10-30,2020-10-30 ~ 2020-11-04,전주인봉초등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 무삼지로 7 (인후동1가),"공사,공공",전북지사,2020-10-30,1588-1519
52,2020-10-30,2020-10-30 ~ 2020-11-03,양현고등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,무관,무관,,    ,전라북도 전주시 덕진구 틀못2길 9 (장동),"공사,공공",전북지사,2020-10-30,1588-1519
53,2020-10-30,2020-10-30 ~ 2020-11-03,전주양현초등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 만성서로 96 (만성동),"공사,공공",전북지사,2020-10-30,1588-1519
54,2020-10-30,2020-10-30 ~ 2020-11-20,현대건설(주),환경·청소 관리자,계약직,시급,"10,000",,무관,무관,무관,,    ,서울특별시 종로구 율곡로 75 (계동),대기업,경남지사,2020-10-30,1588-1519
55,2020-10-30,2020-10-30 ~ 2020-11-06,(사)한국외식업중앙회경남지회창원시의창구지부,사무 보조원(일반사업체),계약직,월급,"1,881,000",,무관,무관,무관,,    ,경상남도 창원시 의창구 상남로 184 1층 한국외식업중앙회 경남지회 창원시의창구지부 (신월동),중소,경남지사,2020-10-30,1588-1519
56,2020-10-30,2020-10-30 ~ 2020-11-30,GS25 거제더샵점,매장 정리원(매장 보조원),시간제,시급,"8,590",,무관,0년개월,무관,,    ,"경상남도 거제시 제산로 86 (양정동, 거제더샵)GS25",개인,경남지사,2020-10-30,1588-1519
57,2020-10-30,2020-10-30 ~ 2020-11-15,제주특별자치도교육청,환경 미화원,계약직,시급,"8,590",,신입,무관,무관,,    ,제주특별자치도 제주시 문연로 5 제주특별자치도교육청 (연동),"공사,공공",제주지사,2020-10-30,1588-1519
58,2020-10-30,2020-10-30 ~ 2020-10-30,한국육영학교,학교행정 사무원(교무),계약직,시급,"8,590",,무관,무관,무관,,    ,서울특별시 송파구 장지동 45-4,"공사,공공",서울동부지사,2020-10-30,1588-1519
59,2020-10-29,2020-10-29 ~ 2020-11-13,한국로지스풀(주),사무 보조원(일반사업체),상용직,연봉,"29,000,000",,무관,무관,고졸,,    ,서울특별시 마포구 마포대로 63-8 삼창프라자 6층 (도화동),중소,경남지사,2020-10-29,1588-1519
60,2020-10-29,2020-10-29 ~ 2020-12-11,대서푸드,식품 분야 단순 종사원,상용직,월급,"1,800,000",,무관,0년개월,무관,,    ,충청남도 천안시 서북구 백석공단4길 15 (백석동) 1동 1층,중소,충남지사,2020-10-29,1588-1519
61,2020-10-29,2020-10-29 ~ 2020-12-31,엘린,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",상용직,시급,"8,590",,무관,무관,무관,,    ,제주특별자치도 제주시 신산마을길 40 (내도동),중소,제주지사,2020-10-29,1588-1519
62,2020-10-29,2020-10-29 ~ 2020-10-30,(주)동서기공 시화지점,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",시간제,시급,"8,590",,신입,0년개월,무관,,    ,경기도 시흥시 공단1대로379번길 2 (정왕동),대기업,경기지역본부,2020-10-29,1588-1519
63,2020-10-29,2020-10-29 ~ 2020-11-20,사단법인 횡성군장애인협회,사무 보조원(일반사업체),계약직,시급,"8,590",,무관,무관,무관,,    ,강원도 횡성군 횡성읍 한우로 223 장애인회관 2층  033)343-9092,중소,강원지사,2020-10-29,1588-1519
64,2020-10-29,2020-10-29 ~ 2020-11-06,의료법인 정산의료재단 효성병원,주차 관리·안내원,상용직,시급,"8,590",,무관,무관,무관,,    ,충청북도 청주시 상당구 쇠내로 16 (금천동),중소,충북지사,2020-10-29,1588-1519
65,2020-10-29,2020-10-29 ~ 2020-11-05,주식회사 행복누리,환경 미화원,상용직,월급,"2,150,000",,무관,무관,무관,,    ,충청북도 청주시 흥덕구 옥산면 과학산업3로 29 옥산면,대기업,충북지사,2020-10-29,1588-1519
66,2020-10-29,2020-10-29 ~ 2020-12-31,소상공인시장진흥공단,공공행정 사무원,상용직,월급,"1,800,000",,무관,무관,무관,,    ,대전광역시 중구 보문로 246 대림빌딩 3층 소상공인시장진흥공단 (대흥동),"공사,공공",충북지사,2020-10-29,1588-1519
67,2020-10-29,2020-10-29 ~ 2020-11-13,주식회사 티비산업,자동차 부분품 조립·검사원,상용직,시급,"8,590",,무관,0년개월,무관,,    ,충청북도 진천군 문백면 계산2길 59 (주)티비산업 ,중소,충북지사,2020-10-29,1588-1519
68,2020-10-29,2020-10-29 ~ 2020-11-15,전주선화학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,"8,590",,무관,무관,무관,,    ,전라북도 전주시 완산구 효자로 39 (효자동3가),"공사,공공",전북지사,2020-10-29,1588-1519
69,2020-10-29,2020-10-29 ~ 2020-11-03,군산여자고등학교,단체 급식 보조원,계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 군산시 월명1길 16 (월명동),"공사,공공",전북지사,2020-10-29,1588-1519
70,2020-10-29,2020-10-30 ~ 2020-11-04,군산용문초등학교(직장),단체 급식 보조원,계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 군산시 미룡로 32-8 (미룡동),"공사,공공",전북지사,2020-10-29,1588-1519
71,2020-10-29,2020-10-29 ~ 2020-10-30,전주인후초등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 무삼지로 67 (인후동1가),"공사,공공",전북지사,2020-10-29,1588-1519
72,2020-10-29,2020-10-29 ~ 2020-11-02,부안동초등학교,단체 급식 보조원,계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 부안군 부안읍 동중리 210번지,"공사,공공",전북지사,2020-10-29,1588-1519
73,2020-10-29,2020-10-29 ~ 2020-11-03,전라고등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 솔내7길 25 (송천동1가),"공사,공공",전북지사,2020-10-29,1588-1519
74,2020-10-29,2020-10-29 ~ 2020-10-30,사회적협동조합 자윤,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,무관,무관,,    ,"전라북도 군산시 성산면 동군산로 122 1호, 자윤보호작업장",중소,전북지사,2020-10-29,1588-1519
75,2020-10-29,2020-10-29 ~ 2020-11-02,전주온빛초등학교,방역원(해충퇴치원 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 틀못3길 7 (장동),"공사,공공",전북지사,2020-11-03,1588-1519
76,2020-10-29,2020-10-29 ~ 2020-12-31,어진샘노인복지회관,노인 생활지도원,계약직,시급,"8,590",,무관,무관,무관,,    ,부산광역시 해운대구 재반로12번길 16 어진샘노인종합복지관 (재송동),중소,부산지역본부,2020-11-04,1588-1519
77,2020-10-29,2020-10-29 ~ 2020-11-20,대현기산,사무 보조원(일반사업체),상용직,시급,"8,590",,무관,무관,무관,,    ,인천광역시 미추홀구 염전로143번길 17  (도화동),중소,인천지사,2020-11-02,1588-1519
78,2020-10-29,2020-10-29 ~ 2020-11-20,(주) 고려퍼프,화장품·비누제품 생산기계 조작원,상용직,월급,"1,795,310",,무관,무관,무관,,    ,경기도 파주시 탄현면 장릉로51번길 92 갈현리 809-28,중소,인천지사,2020-11-02,1588-1519
79,2020-10-29,2020-10-29 ~ 2020-11-20,(주)에이피텍,식물 관리원,상용직,월급,"1,000,000",,신입,무관,무관,,    ,인천광역시 연수구 벤처로100번길 34  (송도동),중소,인천지사,2020-10-29,1588-1519
80,2020-10-29,2020-10-29 ~ 2020-11-13,(주)제니엘플러스,음료 조리사(바리스타 포함),상용직,시급,"8,590",,무관,무관,무관,,    ,서울특별시 영등포구 당산로41길 11 W동 1403호 (당산동4가. SK V1센터),중소,인천지사,2020-10-29,1588-1519
81,2020-10-29,2020-10-29 ~ 2020-10-29,주식회사 가천누리,사무 보조원(일반사업체),시간제,시급,"8,590",,무관,무관,무관,,    ,인천광역시 남동구 독점로3번길 38-14 로뎀오피스텔 101호 (구월동),중소,인천지사,2020-10-29,1588-1519
82,2020-10-29,2020-10-29 ~ 2020-11-20,주식회사 플랜지,주방 보조원(일반 음식점),계약직,시급,"8,590",,무관,0년개월,무관,,    ,"인천광역시 연수구 센트럴로 160 (송도동, 송도센트럴파크푸르지오)",중소,인천지사,2020-10-29,1588-1519
83,2020-10-29,2020-10-29 ~ 2020-12-30,태양섬유,"섬유 제조기계 조작원(방적,방사,연사,합사,권사기 등)",상용직,시급,"8,590",,무관,무관,무관,,    ,광주광역시 북구 자산로 25 733-1 (신안동),중소,광주지역본부,2020-10-29,1588-1519
84,2020-10-29,2020-10-29 ~ 2020-12-31,동악포장재사업소,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,무관,무관,,    ,전라남도 곡성군 곡성읍 곡성로 399-26 (구원리 763-5),"협회,단체",광주지역본부,2020-11-05,1588-1519
85,2020-10-29,2020-10-29 ~ 2020-12-30,(주)씨엘코리아,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,"8,590",,무관,0년개월,무관,,    ,광주광역시 북구 첨단벤처소로15번길 39 (월출동),중소,광주지역본부,2020-11-05,1588-1519
86,2020-10-29,2020-10-29 ~ 2020-10-30,고려대학교부속안산병원,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,시급,"8,590",,신입,무관,무관,보건학,    ,경기도 안산시 단원구 적금로 123 (고잔동),대기업,경기지역본부,2020-10-29,1588-1519
87,2020-10-29,2020-11-01 ~ 2020-12-10,(주)에프에스티,영어 강사,계약직,연봉,"30,000,000",,경력,3년개월,무관,,    ,경기도 화성시 동탄면 동탄산단6길 15-23 (주)에프에스티,중소,경기지역본부,2020-11-02,1588-1519
88,2020-10-29,2020-10-29 ~ 2020-11-13,SK케미칼(주)울산공장,환경 미화원,상용직,월급,"1,800,000",,무관,0년개월,무관,,    ,울산광역시 남구 처용로616번길 133 (황성동),대기업,울산지사,2020-11-04,1588-1519
89,2020-10-29,2020-10-29 ~ 2020-11-30,(주)현대그린푸드,주방 보조원(일반 음식점),상용직,시급,"8,590",,무관,무관,무관,,    ,경기도 용인시 수지구 문인로 30 5층 현대그린푸드 (동천동),중소,울산지사,2020-10-29,1588-1519
90,2020-10-29,2020-10-29 ~ 2020-11-16,중소기업은행,출납창구 사무원(은행·농협·수협·축협),상용직,월급,"1,400,000",,무관,무관,무관,,    ,서울특별시 중구 을지로 79  (을지로2가),중소,서울지역본부,2020-10-29,1588-1519
91,2020-10-29,2020-10-29 ~ 2020-12-29,에이제이대원 주식회사,회계 사무원(일반 사업체),상용직,월급,"2,000,000",,무관,무관,고졸,,    ,서울특별시 송파구 정의로8길 9 AJ빌딩 12층 (문정동),중소,서울지역본부,2020-10-29,1588-1519
92,2020-10-29,2020-10-29 ~ 2020-11-13,(주)달콤,음료 조리사(바리스타 포함),계약직,시급,"8,590",,무관,0년개월,무관,,    ,경기도 성남시 분당구 분당로 55 퍼스트타워9층  (서현동),중소,서울지역본부,2020-11-04,1588-1519
93,2020-10-29,2020-10-29 ~ 2020-12-25,오씨아이드림 주식회사,환경 미화원,계약직,월급,"1,000,000",,무관,0년개월,무관,,    ,서울특별시 중구 소공로 94 OCI빌딩 2층(소공동),개인,서울지역본부,2020-10-29,1588-1519
94,2020-10-29,2020-10-29 ~ 2020-11-13,(주)케이티아이에스,사무 보조원(일반사업체),계약직,월급,"1,945,310",,무관,무관,무관,,    ,서울특별시 영등포구 여의대로 14 KT여의도빌딩 10층 (여의도동),중소,서울남부지사,2020-10-29,1588-1519
95,2020-10-29,2020-10-29 ~ 2020-10-30,서울특별시보라매병원,기타 보건·의료 서비스 종사원,계약직,월급,"1,500,000",,무관,무관,무관,,    ,서울특별시 동작구 보라매로5길 20 (신대방동),"공사,공공",서울남부지사,2020-10-29,1588-1519
96,2020-10-29,2020-10-29 ~ 2020-11-30,(주)아이유노글로벌,사무 보조원(일반사업체),계약직,월급,"2,000,000",,무관,무관,무관,,    ,서울특별시 마포구 월드컵북로56길 19 (상암동) 트림타워 12층,외국계,서울남부지사,2020-10-29,1588-1519
97,2020-10-29,2020-10-29 ~ 2020-11-13,한국특허전략개발원,사무 보조원(공공기관),계약직,월급,"1,900,000",,무관,무관,무관,,    ,서울특별시 강남구 테헤란로 131 한국특허전략개발원(8층) (역삼동),중소,서울동부지사,2020-10-29,1588-1519
98,2020-10-29,2020-10-29 ~ 2020-10-29,제네베라코리아 유한책임회사,제과·제빵원,계약직,시급,"8,590",,무관,0년개월,무관,,    ,서울특별시 강남구 논현로 507 (역삼동) 성지하이츠 3차 빌딩 ,개인,서울동부지사,2020-10-29,1588-1519
99,2020-10-29,2020-10-29 ~ 2020-11-16,신화인터텍(주),직업 운동선수,상용직,월급,"1,000,000",,무관,무관,무관,,    ,충청남도 천안시 동남구 병천면 매봉로 308 .,중소,충남지사,2020-10-29,1588-1519
